METHOD,THRESHOLD,WHOLE_IMAGE,MAG1C,SAMPLED,SPED_UP,PRECISION,WAVELENGTH_RANGE,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_tile_clas,FP_all_tile_clas,FN_all_tile_clas,TP_all_tile_clas,FPR_all_tile_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg
CEM,0.004,True,-,-,True,float64,200-2600,10,SELECT-EVENLY-SPACED,0.030945494464916384,0.023086370900273323,0.09885008675136953,0.1380691903336832,0.014051182195544243,0.1995928897371722,0.03298814156741062,0.025074943900108337,0.11013055936526658,73903453,5534573,94554,95855,0.5034163301104465,0.01702446066267076,0.0329351259964847,0.01674328408368795,0,175,0,167,1.0,5735833,476572,77053,75132,0.49368860268751846,0.1361817206328031,0.21347684080870707,0.11949290425394866,27344411,2098886,17501,20723,0.5421462955211386,0.009776803174547759,0.019207232441064717,0.009696739989986478
MF,0.004,True,-,-,True,float64,200-2600,10,SELECT-EVENLY-SPACED,0.031113088672851882,0.023061953485012054,0.10026173408517021,0.139236936612384,0.01391578745096922,0.20142354673333862,0.03453024000520905,0.02548690140247345,0.11332815968272807,74580045,4857981,96276,94133,0.4943726399487419,0.01900864963932575,0.03660965638850813,0.018646142631611268,0,175,0,167,1.0,5776033,436372,78966,73219,0.4811183756612018,0.14368189391099923,0.22128031237155776,0.12440426330839664,27561131,1882166,17310,20914,0.5471431561322729,0.010989553775984194,0.021546342046377075,0.010890496201292446
ACE,0.03,True,-,-,True,float64,200-2600,10,SELECT-EVENLY-SPACED,0.0044217916825623396,0.6349692344665527,0.0182132008171396,0.04027276818895452,0.39260655641555786,0.0797910632235702,0.003392325854241999,0.6904056072235107,0.01885908859385972,49223917,30214109,80443,109966,0.5775252220220682,0.0036263595839279516,0.007207462528286567,0.0036167651136584373,0,175,0,167,1.0,3909637,2302768,66094,86091,0.5656996418832342,0.0360385439241077,0.06776033787687265,0.03506828847639853,18160408,11282889,14349,23875,0.6246075763917958,0.0021115679074932493,0.004208907052171408,0.0021088915904293156
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-EVENLY-SPACED,0.03028413005518588,2349.697509765625,0.09752341789206383,0.16470141089852908,1173.4976806640625,0.2402625832934411,0.027917183944602835,2690.03466796875,0.09260573370482567,78698018,740008,137589,52820,0.27740285385669794,0.06662226863834274,0.10744103405384459,0.05677024387989471,0,175,0,167,1.0,6140411,71994,113461,38724,0.25445346124782336,0.3497534276269441,0.29458773768271945,0.17273696465770658,29173656,269641,24128,14096,0.36877354541649227,0.04967980911900809,0.08756340053608977,0.04578630243775681
MAG1C_TILE,400.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-EVENLY-SPACED,0.03028413005518588,2349.697509765625,0.09752341789206383,0.16470141089852908,1173.4976806640625,0.2402625832934411,0.027917183944602835,2690.03466796875,0.09260573370482567,78715438,722588,137817,52592,0.2762054314659496,0.06784488763899997,0.10893247541138101,0.057603694207100355,0,175,0,167,1.0,6141258,71147,113593,38592,0.253586095870158,0.35167078249300615,0.2946808998029963,0.17280103164795013,29180031,263266,24224,14000,0.3662620343239849,0.05049302835544207,0.08875083203905038,0.046436034362665427
MAG1C_TILE,500.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-EVENLY-SPACED,0.03028413005518588,2349.697509765625,0.09752341789206383,0.16470141089852908,1173.4976806640625,0.2402625832934411,0.027917183944602835,2690.03466796875,0.09260573370482567,78752641,685385,138266,52143,0.27384734965258994,0.07069968868978534,0.11238478474292975,0.059537973541723285,0,175,0,167,1.0,6143315,69090,113860,38325,0.25183165226533494,0.3567937438905181,0.29526194144838214,0.1732007682747712,29193710,249587,24406,13818,0.36150062787777315,0.052459140866726144,0.09162248987995186,0.04801067367126343
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-EVENLY-SPACED,0.03198139429057649,2328.09521484375,0.09994193888564824,0.16756887098146273,1231.1551513671875,0.24829714645902098,0.028924768930531787,2722.975341796875,0.09482365761766988,78284829,1153197,119344,71065,0.3732229043795199,0.0580472153836352,0.1004685895165731,0.052891249369234734,0,175,0,167,1.0,6104679,107726,98736,53449,0.35121069750632455,0.33162090894989915,0.34113479703854993,0.2056434702648214,29013968,429329,20608,17616,0.46086228547509417,0.039414245600689124,0.07261799496670233,0.03767701201788888
MAG1C_TILE_SAMPLED-0.01,400.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-EVENLY-SPACED,0.03198139429057649,2328.09521484375,0.09994193888564824,0.16756887098146273,1231.1551513671875,0.24829714645902098,0.028924768930531787,2722.975341796875,0.09482365761766988,78401012,1037014,121726,68683,0.3607129915077544,0.06211737935438009,0.10598361553761805,0.05595707429305138,0,175,0,167,1.0,6113544,98861,100584,51601,0.33906758221900973,0.34295037949781343,0.3409979282794807,0.20554400388773372,29058430,384867,21142,17082,0.4468920050230222,0.04249792884171873,0.0776149377631068,0.04037429300079652
MAG1C_TILE_SAMPLED-0.01,500.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-EVENLY-SPACED,0.03198139429057649,2328.09521484375,0.09994193888564824,0.16756887098146273,1231.1551513671875,0.24829714645902098,0.028924768930531787,2722.975341796875,0.09482365761766988,78525164,912862,124529,65880,0.34599204869517725,0.06731089500603836,0.11269716229982268,0.059713343321813044,0,175,0,167,1.0,6122660,89745,102758,49427,0.3247823372868548,0.3551504612996867,0.339288227157748,0.20430289753234407,29105603,337694,21771,16453,0.43043637505232313,0.046458109203240464,0.08386450578661522,0.04376752376848143
CEM,0.004,True,-,-,True,float64,200-2600,10,SELECT-HIGHEST-TRANSMITTANCE,0.01300288648141751,0.04199591651558876,0.05465411165703776,0.07904768710440636,0.027119111269712448,0.14076402855032658,0.004639013966423586,0.04806016385555267,0.023222625794784815,71861604,7576422,121380,69029,0.3625301325042409,0.009028767563875564,0.017618742550275273,0.008887666024920589,0,175,0,167,1.0,5579969,632436,97347,54838,0.36033774682130304,0.07979059298038337,0.13065081201106904,0.06989106842666715,26644309,2798988,24033,14191,0.3712588949351193,0.005044471041480119,0.009953696478540565,0.005001741145885467
MF,0.004,True,-,-,True,float64,200-2600,10,SELECT-HIGHEST-TRANSMITTANCE,0.01317219694791869,0.04030647128820419,0.055934627212144365,0.07844105801436947,0.026750797405838966,0.1408459193972053,0.0043044816501467955,0.041869089007377625,0.02175529932405577,71121185,8316841,122606,67803,0.35609136122767304,0.008086568732077354,0.0158140130445841,0.007970025566428634,0,175,0,167,1.0,5556382,656023,98138,54047,0.3551401255051418,0.07611503091244526,0.1253619868832306,0.06687263674697602,26359115,3084182,24468,13756,0.3598786102971955,0.004440372919019038,0.008772506012125649,0.0044055769813406715
ACE,0.03,True,-,-,True,float64,200-2600,10,SELECT-HIGHEST-TRANSMITTANCE,0.0030476894244276555,0.5699087381362915,0.010021210352808533,0.03039827602391468,0.3115848898887634,0.058935676988571904,0.0016482720705805888,0.6242155432701111,0.005564468855627087,51906771,27531255,108564,81845,0.42983787531051576,0.0029639917285636166,0.00588738637270569,0.0029523840993094788,0,175,0,167,1.0,4072257,2140148,87412,64773,0.42562013339028154,0.029376562697711165,0.05495976846183413,0.028256365894483916,19372842,10070455,21152,17072,0.44663038928421933,0.0016923870439206755,0.003371996803002563,0.0016888457928083383
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-HIGHEST-TRANSMITTANCE,0.00837780188306076,3306.218994140625,0.03719906776322637,0.07277364998509395,1861.0538330078125,0.12288979882620966,0.005488196197160834,3250.91357421875,0.024113119435967334,79174020,264006,175015,15394,0.08084701878587672,0.05509663564781675,0.06553301448035265,0.033876522561975285,0,175,0,167,1.0,6193002,19403,140507,11678,0.07673555212405954,0.37572793668157395,0.1274431700369954,0.06805837238035294,29344127,99170,34508,3716,0.09721640853913771,0.03611764477188344,0.05266813124512791,0.027046304787690875
MAG1C_TILE,400.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-HIGHEST-TRANSMITTANCE,0.00837780188306076,3306.218994140625,0.03719906776322637,0.07277364998509395,1861.0538330078125,0.12288979882620966,0.005488196197160834,3250.91357421875,0.024113119435967334,79175602,262424,175044,15365,0.08069471506073768,0.05531176540467765,0.0656346246673416,0.03393083101275746,0,175,0,167,1.0,6193063,19342,140518,11667,0.07666327167592075,0.37624560611435387,0.12737316724346867,0.06801844607554496,29344625,98672,34526,3698,0.0967455002092926,0.036123864413402366,0.052605374340299015,0.027013207106124357
MAG1C_TILE,500.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-HIGHEST-TRANSMITTANCE,0.00837780188306076,3306.218994140625,0.03719906776322637,0.07277364998509395,1861.0538330078125,0.12288979882620966,0.005488196197160834,3250.91357421875,0.024113119435967334,79178611,259415,175086,15323,0.08047413725191561,0.05577313658831323,0.0658845483255831,0.034064434089777336,0,175,0,167,1.0,6193186,19219,140541,11644,0.0765121398298124,0.37728023847325276,0.12722346051308947,0.0679330704067583,29345501,97796,34545,3679,0.09624843030556718,0.03625523527962552,0.052670384183136604,0.02704749301573298
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-HIGHEST-TRANSMITTANCE,0.007646091356118437,3519.481201171875,0.03352489061194723,0.06713574532307204,1661.031494140625,0.1185969529619279,0.004551335136256267,3433.51171875,0.021422745982709587,78944012,494014,168575,21834,0.11466894947192623,0.042326421736635596,0.06183018363003835,0.031901324181098534,0,175,0,167,1.0,6179234,33171,135412,16773,0.11021454151197556,0.3358361364728496,0.1659633204537696,0.09049073134940332,29257333,185964,33163,5061,0.13240372540812057,0.026493914409108754,0.04415286435273436,0.022574803290095813
MAG1C_TILE_SAMPLED-0.01,400.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-HIGHEST-TRANSMITTANCE,0.007646091356118437,3519.481201171875,0.03352489061194723,0.06713574532307204,1661.031494140625,0.1185969529619279,0.004551335136256267,3433.51171875,0.021422745982709587,78975457,462569,169074,21335,0.11204827502901649,0.044089323502182254,0.06327921899770582,0.03267338256419052,0,175,0,167,1.0,6181246,31159,135770,16415,0.10786214147254986,0.34504140917307774,0.1643480393874619,0.08953115455100794,29268863,174434,33304,4920,0.1287149434910004,0.027431782954380722,0.04522516063204919,0.02313573907400615
MAG1C_TILE_SAMPLED-0.01,500.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-HIGHEST-TRANSMITTANCE,0.007646091356118437,3519.481201171875,0.03352489061194723,0.06713574532307204,1661.031494140625,0.1185969529619279,0.004551335136256267,3433.51171875,0.021422745982709587,79009703,428323,169592,20817,0.10932781538687772,0.04634857728102596,0.06509899945117575,0.0336446151160761,0,175,0,167,1.0,6183403,29002,136138,16047,0.10544403193481618,0.35621212457546225,0.16272042345640206,0.08856595671874913,29281649,161648,33454,4770,0.12479070740895773,0.02866276484514896,0.04661799630574369,0.023865273775216137
CEM,0.004,True,-,-,True,float64,200-2600,10,SELECT-HIGHEST-VARIANCE,0.025545883601243633,0.046181242913007736,0.07465619853219115,0.11486507665107366,0.028739124536514282,0.17393126814153814,0.00520953553333111,0.05165192484855652,0.02150088941607213,69939881,9498145,96260,94149,0.49445666959019796,0.009815066135379087,0.019248054448755113,0.009717549182261873,0,175,0,167,1.0,5351191,861214,75167,77018,0.5060814140684036,0.08208843868041167,0.14126338822670592,0.07599968028387634,25840119,3603178,21093,17131,0.44817392214315616,0.004731916529776878,0.009364955844323394,0.0047045066707822976
MF,0.004,True,-,-,True,float64,200-2600,10,SELECT-HIGHEST-VARIANCE,0.026636640327581302,0.046201784163713455,0.07541579650914856,0.11406966498250845,0.02855580300092697,0.17033426562879264,0.006010402526557863,0.04895986616611481,0.024643765342349782,71464774,7973252,101364,89045,0.4676512139657264,0.011044619169946233,0.021579588561618457,0.010907483786992135,0,175,0,167,1.0,5502428,709977,80641,71544,0.4701120346946151,0.09154456502128541,0.1532473819382118,0.08298208457343284,26329170,3114127,20723,17501,0.4578537044788614,0.005588467084851713,0.011042155911380089,0.005551729486976545
ACE,0.03,True,-,-,True,float64,200-2600,10,SELECT-HIGHEST-VARIANCE,0.0048566787418708015,0.5957830548286438,0.022190204085909583,0.04563042107185534,0.38889798521995544,0.09118206037880507,0.002878429052949391,0.6127223968505859,0.016586013327049485,52245916,27192110,90282,100127,0.5258522443792047,0.0036686989051135676,0.007286561854342555,0.003656602958990004,0,175,0,167,1.0,4070785,2141620,72733,79452,0.522075105956566,0.03577191554348531,0.06695608608760027,0.034637643566039836,19383371,10059926,17549,20675,0.5408905399748849,0.002050968984884929,0.004086442842919015,0.0020474047226472177
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-HIGHEST-VARIANCE,0.02833993480086531,2920.738525390625,0.0808452888234762,0.13046355750478053,1592.343994140625,0.1644942968216671,0.01379999209062474,3042.82421875,0.05028176332525339,79103462,334564,165378,25031,0.13145912220535794,0.06960886552927599,0.09102115620977302,0.04768054738053195,1,174,0,167,0.9942857142857143,6192992,19413,132546,19639,0.12904688372704273,0.5028935777937109,0.20538912448950775,0.11444772083590718,29324472,118825,32832,5392,0.14106320636249478,0.043407907130263976,0.06638718057633233,0.034333233576781766
MAG1C_TILE,400.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-HIGHEST-VARIANCE,0.02833993480086531,2920.738525390625,0.0808452888234762,0.13046355750478053,1592.343994140625,0.1644942968216671,0.01379999209062474,3042.82421875,0.05028176332525339,79114302,323724,165494,24915,0.13084990730480178,0.07146360562071369,0.09244074739169796,0.04846022332742695,1,174,0,167,0.9942857142857143,6193558,18847,132574,19611,0.1288628971317804,0.5099329138280722,0.20573532728712826,0.11466275316899761,29327957,115340,32920,5304,0.13876098786102972,0.04396405954709724,0.06677241483495733,0.03453934515902165
MAG1C_TILE,500.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-HIGHEST-VARIANCE,0.02833993480086531,2920.738525390625,0.0808452888234762,0.13046355750478053,1592.343994140625,0.1644942968216671,0.01379999209062474,3042.82421875,0.05028176332525339,79135045,302981,165688,24721,0.12983104790214747,0.07543744011327365,0.09542742771336644,0.05010437990230852,1,174,0,167,0.9942857142857143,6194446,17959,132690,19495,0.12810066695140782,0.5205051529876649,0.20560116853600785,0.1145794150836938,29335063,108234,32998,5226,0.1367203850983675,0.046060285563194074,0.06890641069592046,0.03568258476832949
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-HIGHEST-VARIANCE,0.03422075884038374,2678.51953125,0.08901076956090113,0.14429236574889007,1577.6275634765625,0.1874106956566122,0.01677049925003935,2662.940673828125,0.05548878976715536,78798915,639111,153804,36605,0.19224406409360903,0.05417216700507314,0.08452590561408573,0.044127929404957085,0,175,0,167,1.0,6168987,43418,123556,28629,0.18811972270591715,0.39736560856107817,0.2553516001284384,0.14636278584684284,29207670,235627,30248,7976,0.20866471326915026,0.03274179710430496,0.056602099869778266,0.02912532727651168
MAG1C_TILE_SAMPLED-0.01,400.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-HIGHEST-VARIANCE,0.03422075884038374,2678.51953125,0.08901076956090113,0.14429236574889007,1577.6275634765625,0.1874106956566122,0.01677049925003935,2662.940673828125,0.05548878976715536,78873130,564896,155003,35406,0.18594709283699826,0.05898031324233469,0.0895548436786639,0.046876427403499246,0,175,0,167,1.0,6174150,38255,124423,27762,0.18242270920261525,0.4205280458063832,0.2544614623147359,0.14577819785759294,29235556,207741,30580,7644,0.19997907074089577,0.03548993662511317,0.06028177233457803,0.03107759234037363
MAG1C_TILE_SAMPLED-0.01,500.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-HIGHEST-VARIANCE,0.03422075884038374,2678.51953125,0.08901076956090113,0.14429236574889007,1577.6275634765625,0.1874106956566122,0.01677049925003935,2662.940673828125,0.05548878976715536,78951703,486323,156325,34084,0.1790041437116943,0.06549489149838492,0.09590104893530815,0.05036558046612248,0,175,0,167,1.0,6179324,33081,125307,26878,0.17661398955218977,0.4482729865408029,0.25339392111018927,0.14507788800967258,29264866,178431,31018,7206,0.1885203013813311,0.03881769259361011,0.06437923532906581,0.03326025247513328
